NO;NAMA BARANG;HARGA KONTER;HARGA KONSUMEN;STOK BARANG
906;FLX TC INFINIX X693/ NOTE 10 ORI ;;;
907;FLX TC INFINIX X6812/ HOT 11S/ NOTE 11 ORI;;;
908;FLX TC INFINIX X6812/ HOT 11S/ NOTE 11 BIASA ;;;
909;FLX TC INFINIX X625/S5/HOT 8/HOT 9/7 PRO ORI ;;;
910;FLX TC INFINIX ITEL A49 BIASA ;;;
911;FLX TC INFINIX X521/ HOT 5 BIASA ;;;
912;FLX TC INFINIX X692/ NOTE 8 BIASA ;;;
913;FLX TC INFINIX X653/ SMART 4 ORI ;;;
914;FLX TC INFINIX X689/ HOT 10S BIASA ;;;
915;FLX TC INFINIX X657/ SMART 5/ HOTR 10 LITE ORI ;;;
916;FLX TC INFINIX X683/NOTE 8I BIASA ;;;
917;FLX TC INFINIX X690/ NOTE 7 BIASA ;;;
918;FLX TC INFINIX X6827/ HOT 20S BIASA ;;;
919;FLX TC NFINIX X569/ NOTE 10 PRO BIASA ;;;
920;FLX TC SAMSUNG P.7500 BIASA ;;;
921;FLX TC SAMSUNG A.3000F BIASA ;;;
922;FLX TC SAMSUNG A05 ORI;;;
923;FLX TC SAMSUNG A30S/ A307 ORI;;;
924;FLX TC SAMSUNG A30S/ A307 BIASA ;;;
925;FLX TC SAMSUNG A02/A022F BIASA;;;
926;FLX TC SAMSUNG A02/A022F ORI;;;
927;FLX TC SAMSUNG A037/ M025 BIASA;;;
928;FLX TC SAMSUNG A037/ M025 ORI;;;
929;FLX TC SAMSUNG A025F BIASA ;;;
930;FLX TC SAMSUNG A30S (2019) ORI;;;
931;FLX TC SAMSUNG A30S (2019) BIASA ;;;
932;FLX TC SAMSUNG A015/ A01 ORI;;;
933;FLX TC SAMSUNG A015/ A01 BIASA;;;
934;FLX TC SAMSUNG A310F BIASA ;;;
935;FLX TC SAMSUNG N770F/ NOTE 10 LITE BIASA ;;;
936;FLX TC SAMSUNG M105/ M10 BIASA;;;
937;FLX TC SAMSUNG T220/ T225/ A7 LITE BIASA;;;
938;FLX TC SAMSUNG A12/ A125 BIASA;;;
939;FLX TC SAMSUNG A510/ A5 (2016) NEW BIASA;;;
940;FLX TC SAMSUNG A750/ A7 (2018) BIASA ;;;
941;FLX TC SAMSUNG A505/ A50 (2019) BIASA ;;;
942;FLX TC SAMSUNG A505/ A50 (2019) ORI ;;;
943;FLX TC SAMSUNG A22 (4G)/ A225 BIASA;;;
944;FLX TC SAMSUNG A14G/ A14 (5G) BIASA;;;
945;FLX TC SAMSUNG A14G/ A14 (5G) ORI;;;
946;FLX TC SAMSUNG A215/ A21 (4G) BIASA ;;;
947;FLX TC SAMSUNG G900F/ S5 BIASA ;;;
948;FLX TC SAMSUNG E700/ E7 BIASA;;;
949;FLX TC SAMSUNG F700/ 2 PUP BIASA;;;
950; FLX TC SAMSUNG A8000 BIASA ;;;
951;FLX TC SAMSUNG A510 BIASA;;;
952;FLX TC SAMSUNG A510F BIASA;;;
953;FLX TC SAMSUNG A705F/ A70 (2019) BIASA ;;;
954;FLX TC SAMSUNG A705F/ A70 (2019) ORI;;;
955;FLX TC SAMSUNG A715F/A71 BIASA ;;;
956;FLX TC SAMSUNG N960/ NOTE 9 BIASA ;;;
957;FLX TC SAMSUNG A500H/ A5000 BIASA;;;
958;FLX TC SAMSUNG A105/ A10 (2019) BIASA ;;;
959;FLX TC SAMSUNG M515/ M51 BIASA;;;
960;FLX TC SAMSUNG M515/ M51 ORI ;;;
961;FLX TC SAMSUNG N7100/ NOTE 2 BIASA ;;;
962;FLX TC SAMSUNG A315/ A31 BIASA ;;;
963;FLX TC SAMSUNG A426/ A42 (5G) BIASA ;;;
964;FLX TC SAMSUNG N950/ NOTE 8 BIASA ;;;
965;FLX TC SAMSUNG A405F/ A40 (2019) BIASA ;;;
966;FLX TC SAMSUNG T295/ TAB A8 BIASA;;;
967;FLX TC SAMSUNG T295/ TAB A8 ORI ;;;
968;FLX TC SAMSUNG A500F BIASA ;;;
969;FLX TC SAMSUNG G955/ S8 BIASA ;;;
970;FLX TC SAMSUNG A23/A235 ORI ;;;
971;FLX TC SAMSUNG A35 (5G)/ A536 BIASA ;;;
972;FLX TC SAMSUNG G930/ S7 BIASA ;;;
973;FLX TC SAMSUNG I.9500/ S4 BIASA ;;;
974;FLX TC SAMSUNG A710F/ A7 (2016) BIASA ;;;
975;FLX TC SAMSUNG N.8000 BIASA ;;;
976;FLX TC SAMSUNG A207/ VERSI M12/ A20S SMALL BIASA;;;
977;FLX TC SAMSUNG A207/ VERSI M12/ A20S SMALL ORI;;;
978;FLX TC SAMSUNG S20+ (5G) BIASA;;;
979;FLX TC SAMSUNG M305/ M30 BIASA;;;
980;FLX TC SAMSUNG M305/ M30 ORI;;;
981;FLX TC SAMSUNG G960/ S9 BIASA;;;
982;FLX TC SAMSUNG M20 ORI;;;
983;FLX TC SAMSUNG M20 BIASA ;;;
984;FLX TC SAMSUNG A107/ A10S SMALL ORI;;;
985;FLX TC SAMSUNG A107/ A10S SMALL BIASA;;;
986;FLX TC SAMSUNG M22/ M32 ORI;;;
987;FLX TC SAMSUNG M22/ M32 BIASA ;;;
988;FLX TC SAMSUNG A52 (4G/5G) ORI ;;;
989;FLX TC SAMSUNG A317 BIASA ;;;
990;FLX TC SAMSUNG A226/ A22 (5G) BIASA ;;;
991;FLX TC SAMSUNG N970 BIASA ;;;
992;FLX TC SAMSUNG GALAXY A102 BIASA ;;;
993;FLX TC SAMSUNG A34G/ A34 (5G) BIASA ;;;
994;FLX TC SAMSUNG M105/ A20 ORI;;;
995;FLX TC SAMSUNG M105/ A20 BIASA ;;;
996;FLX TC SAMSUNG A207/ A20S BIG ORI;;;
997;FLX TC SAMSUNG A207/ A20S BIG BIASA ;;;
998;FLX TC SAMSUNG A51 ORI;;;
999;FLX TC SAMSUNG A51 BIASA ;;;
1000;FLX TC SAMSUNG A54 (5G)/ A54GE ORI ;;;
1001;FLX TC SAMSUNG A03 CORE/ A032 ORI;;;
1002;FLX TC SAMSUNG A03 CORE/ A032 BIASA;;;
1003;FLX TC SAMSUNG A035/ A03 ORI;;;
1004;FLX TC SAMSUNG A035/ A03 BIASA;;;
1005;FLX TC SAMSUNG A135/ A13 (4G) ORI;;;
1006;FLX TC SAMSUNG A135/ A13 (4G) BIASA ;;;
1007;FLX TC SAMSUNG A14 (4G)/ A145 ORI;;;
1008;FLX TC SAMSUNG A14 (4G)/ A145 BIASA ;;;
1009;FLX TC SAMSUNG A326/ A32 (5G) ORI;;;
1010;FLX TC SAMSUNG A326/ A32 (5G) BIASA ;;;
1011;FLX TC SAMSUNG A315/ A31 ORI  ;;;
1012;FLX TC SAMSUNG G770F/ S10 ORI;;;
1013;FLX TC SAMSUNG A325/ A32 (4G) ORI;;;
1014;FLX TC SAMSUNG A325/ A32 (4G) BIASA ;;;
1015;FLX TC SAMSUNG T290 ORI ;;;
1016;FLX TC SAMSUNG S6 EDGE BIASA ;;;
1017;FLX TC SAMSUNG N7105 BIASA ;;;
1018;FLX TC SAMSUNG P.5200 BIASA ;;;
1019;FLX TC SAMSUNG T.705 BIASA ;;;
1020;FLX TC SAMSUNG N7505 BIASA ;;;
1021;FLX TC SAMSUNG A11 BIASA ;;;
1022;FLX TC SAMSUNG A11 ORI;;;
1023;FLX TC SAMSUNG A305/ A30 BIASA ;;;
1024;FLX TC SAMSUNG A13G BIASA ;;;
1025;FLX TC SAMSUNG N910 BIASA ;;;
1026;FLX TC SAMSUNG M536/ M5 BIASA ;;;
1027;FLX TC SAMSUNG T290 BIASA ;;;
1028;FLX TC SAMSUNG T510/ T515/ TAB A10 BIASA ;;;
1029;FLX TC SAMSUNG S21+ (5G) BIASA ;;;
1030;FLX TC SAMSUNG M236/ M336 BIASA ;;;
1031;FLX TC SAMSUNG A045/ A04 BIASA ;;;
1032;FLX TC SAMSUNG N5100/ TAB NOTE 8.0 BIASA ;;;
1033;FLX TC SAMSUNG A3/ A300 BIASA ;;;
1034;FLX TC SAMSUNG A042/ A04E BIASA ;;;
1035;FLX TC SAMSUNG M217/ M21S BIASA ;;;
1036;FLX TC SAMSUNG S9+ BIASA ;;;
1037;FLX TC SAMSUNG S21 (5G)/ G991 BIASA ;;;
1038;FLX TC SAMSUNG E500 BIASA ;;;
1039;FLX TC LENOVO S930 BIASA ;;;
1040;FLX TC SAMSUNG A21S/A217 BIASA ;;;
1041;FLX TC SAMSUNG A127/ A12S BIASA ;;;
1042;FLX TC SAMSUNG A50S/ A507 BIASA ;;;
1043;FLX TC SAMSUNG A04S/ A047 BIASA ;;;
1044;FLX TC NOKIA 7+ ;;;
1045;FLX TC NOKIA 8 ;;;
1046;FLX TC NOKIA N535 ;;;
1047;FLX TC NOKIA LUMIA 925 ;;;
1048;FLX TC NOKIA G25 ;;;
1049;FLX TC NOKIA X616L PLUS ORI ;;;
1050;FLX TC NOKIA 7.1 PLUS ;;;
1051;FLX TC NOKIA 6;;;
1052;FLX TC NOKIA 6.1;;;
1053;FLX TC NOKIA 6.1 PLUS ;;;
1054;FLX TC NOKIA 5;;;
1055;FLX TC NOKIA 5.1/ X5;;;
1056;FLX TC NOKIA 5.3 ;;;
1057;FLX TC NOKIA 3.1;;;
1058;FLX TC NOKIA 3;;;
1059;FLX TC 5.1 PLUS;;;
1060;BAZER SAMSUNG G531,J3,J7,J510;;;
1061;BAZER SAMSUNG A025/ A037/ A03S FULLSET ORI ;;;
1062;BAZER SAMSUNG G313 ;;;
1063;BAZER SAMSUNG G355;;;
1064;BAZER SAMSUNG J7 PRO FULLSET ;;;
1065;BAZER SAMSUNG J5 PRO FULLSET ;;;
1066;BAZER SAMSUNG J7 PRIME/ G610 FULLSET;;;
1067;BAZER SAMSUNG A720 FULLSET;;;
1068;BAZER SAMSUNG A71 FULLSET;;;
1069;BAZER SAMSUNG A10S FULLSET;;;
1070;BAZER SAMSUNG A042/ A04E FULLSET;;;
1071;BAZER OPPO RENO 3 (5G) FULLSET ;;;
1072;BAZER OPPO RENO 6 (5G) FULLSET;;;
1073;BAZER OPPO RENO 3 (4G) FULLSET;;;
1074;BAZER OPPO RENO 2Z FULLSET;;;
1075;BAZER OPPO RENO 3 PRO (5G) FULLSET;;;
1076;BAZER OPPO RENO 5 FULLSET;;;
1077;BAZER OPPO RENO 5 (5G) FULLSET ;;;
1078;BAZER REALME C20/ C21/ C11 (2021) FULLSET ;;;
1079;BAZER OPPO F3 FULLSET ;;;
1080;BAZER OPPO F1 PLUS FULLSET ;;;
1081;BAZER OPPO F3 PLUS FULLSET ;;;
1082;BAZER REALME 5 PRO FULLSET ;;;
1083;BAZER REALME C21Y FULLSET ;;;
1084;BAZER REALME 6/ 6I FULLSET;;;
1085;BAZER OPPO A5S FULLSET ;;;
1086;BAZER OPPO RENO 6 PRO (5G) FULLSET;;;
1087;BAZER OPPO A52 (2020)/ A92 (2020) FULLSET ;;;
1088;BAZER OPPO A3S (CPH 1853) FULLSET;;;
1089;BAZER OPPO A3S (CPH 1803) FULLSET;;;
1090;BAZER OPPO A5 (2020)/ A9 (2020) FULLSET ;;;
1091;BAZER OPPO A57 (4G)/ A58/ A76 FULLSET ;;;
1092;BAZER OPPO A15 (2020)/ A15S/ A35 (2021) FULLSET;;;
1093;BAZER REALME 6 PRO FULLSET ;;;
1094;BAZER OPPO A16 (2021)/ A54/ A56/ A93 FULLSET ;;;
1095;BAZER OPPO F11 PRO FULLSET                        ;;;
1096;BAZER XIOMI REDMI NOTE 7/ NOTE 7 PRO FULLSET ;;;
1097;BAZER XIOMI REDMI NOTE 5A FULLSET;;;
1098;BAZER XIOMI REDMI NOTE 8 PRO FULLSET;;;
1099;BAZER XIOMI REDMI 9/ 9 PRIME FULLSET ;;;
1100;BAZER XIOMI REDMI 8/ 8A FULLSET;;;
1101;BAZER XIOMI REDMI NOTE 8 ;;;
1102;BAZER XIOMI REDMI 4 PRO FULLSET ;;;
1103;BAZER XIOMI REDMI NOTE 9 PRO FULLSET ;;;
1104;BAZER XIOMI REDMI 7;;;
1105;BAZER XIOMI REDMI MIMAX FULLSET ;;;
1106;BAZER XIOMI REDMI MIMAX 2 FULLSET ;;;
1107;BAZER XIOMI REDMI MI4C FULLSET ;;;
1108;BAZER XIOMI REDMI 4 FULLSET;;;
1109;BAZER XIOMI REDMI NOTE 2;;;
1110;BAZER XIOMI REDMI 2/ 3/ NOTE 4G ;;;
1111;BAZER XIOMI REDMI 5A/ 6A/ 6;;;
1112;BAZER XIOMI REDMI 4A FULLSET;;;
1113;BAZER XIOMI REDMI NOTE 10 (5G)/ POCO M3 PRO (4G/5G) FULLSET;;;
1114;BAZER XIOMI REDMI POCO X3/ X3 PRO FULLSET;;;
1115;BAZER XIOMI REDMI NOTE 3 FULLSET;;;
1116;BAZER XIOMI REDMI NOTE 4X FULLSET ;;;
1117;BAZER XIOMI REDMI NOTE 4 FULLSET ;;;
1118;BAZER XIOMI REDMI 5 FULLSET;;;
1119;BAZER XIOMI REDMI 5+ FULLSET;;;
1120;BAZER XIOMI REDMI 7A FULLSET;;;
1121;BAZER XIOMI REDMI 6/ 6A FULLSET;;;
1122;BAZER XIOMI REDMI 5A FULLSET;;;
1123;BAZER XIOMI REDMI 4X FULLSET;;;
1124;BAZER XIOMI REDMI 3/ 3S FULLSET;;;
1125;BAZER VIVO Y55 FULLSET;;;
1126;BAZER VIVO V15/ S1 FULLSET;;;
1127;BAZER VIVO Y12/ Y15/ Y17/ Y11 FULLSET;;;
1128;BAZER VIVO Y91/ Y93/ Y95 ;;;
1129;BAZER VIVO Y91/ Y93/ Y95 FULLSET;;;
1130;BAZER VIVO Y20/ Y12S/ Y20I/ Y20S FULLSET;;;
1131;BAZER VIVO V3 FULLSET;;;
1132;BAZER VIVO Y51 FULLSET;;;
1133;BAZER IPHONE 5G FULLSET;;;
1134;BAZER IPHONE 6/ 6G FULLSET;;;
1135;BAZER IPHONE XS MAX FULLSET ;;;
1136;BAZER IPHONE 7+ FULLSET ;;;
1137;BAZER IPHONE 7G;;;
1138;BAZER IPHONE 4G/ 4S FULLSET ;;;
1139;BAZER SONY XA FULLSET ;;;
1140;BAZER INFINIX X680/ X688;;;
1141;BAZER INFINIX E250/ E1272/ 1712 CINA ;;;
1142;BAZER INFINIX NK. 5300/ X650/ X652/ X653/ J110/ A7000 ;;;
1143;BAZER ZENFONE ZE500KL FULLSET ;;;
1144;BAZER ZENFONE MAX PRO M1 FULLSET ;;;
1145;BAZER ZENFONE Z5C553KL/ ZENFONE 3 FULLSET;;;
1146;BAZER ZENFONE ZD551KL FULLSET;;;
1147;BAZER ZENFONE ZE551ML/ ZE550ML FULLSET;;;
1148;SPEAKER SAMSUNG A115/ A11;;;
1149;SPEAKER SAMSUNG M205/ M20;;;
1150;SPEAKER SAMSUNG A20/ A30/ A50/ A70/ A305/ GG32;;;
1151;SPEAKER SAMSUNG A217/ A315/ A325/ A202/ A415 ;;;
1152;SPEAKER SAMSUNG G.960/ G.970/ G.975/ N97;;;
1153;SPEAKER SAMSUNG A105/ M105/ A10;;;
1154;SPEAKER SAMSUNG A015/ A022/ A025/ A215/ A207;;;
1155;SPEAKER REALME 5/ REALME Q ;;;
1156;SPEAKER OPPO A5 (2020)/ A9 (2020);;;
1157;SPEAKER REALME 5/3/ 5I/53/ Z PRO;;;
1158;SPEAKER OPPO F7;;;
1159;SPEAKER OPPO A31;;;
1160;SPEAKER XIAOMI REDMI 5PLUS;;;
1161;SPEAKER XIAOMI REDMI 4A/4/5/NOTE 4X/NOTE5A/NOTE5PRO;;;
1162;SPEAKER XIAOMI REDMI 7/8A/NOTE7/NOTE7PRO/NOTE8PRO;;;
1163;SPEAKER XIAOMI REDMI NOTE2;;;
1164;SPEAKER XIAOMI REDMI8;;;
1165;SPEAKER POCHOPONE F1;;;
1166;SPEAKER POCO X3/X3 NFC PRO;;;
1167;SPEAKER VIVO Y91/Y93/4K/V11/V15/V15PRO/S1PRO;;;
1168;SPEAKER CINA 4KAKI;;;
1169;SPEAKER IPHONE XR;;;
1170;SPEAKER IPHONE 11PRO;;;
1171;SPEAKER IPHONE 11PRO;;;
1172;SPEAKER IPHONE XS MAX;;;
1173;SPEAKER IPHONE SX;;;
1174;SPEAKER IPHONE XR;;;
1175;SPEAKER IPHONE 6;;;
1176;SPEAKER IPHONE 12PRO MAX;;;
1177;SPEAKER IPHONE 7G/8G;;;
1178;SPEAKER+FLEXIBEL IPHONE XS MAX;;;
1179;SPEAKER IPHONE X;;;
1180;SPEAKER IPHONE 12/12PRO;;;
1181;SPEAKER IPHONE 7PLUS/8PLUS ;;;
1182;FLX BOARD VIVO Y12/Y15(2019);;;
1183;FLX BOARD VIVO V11;;;
1184;FLX BOARD VIVO Y19;;;
1185;FLX BOARD VIVO V15/S1;;;
1186;FLX BOARD VIVO Y11/Y17(2019);;;
1187;FLX BOARD VIVO Y91/Y93;;;
1188;FLX BOARD VIVO V5PLUS;;;
1189;FLX BOARD VIVO Y15S ;;;
1190;FLX BOARD ZENFONE X00TD/ZB601KL;;;
1191;FLX BOARD ZENFONE C;;;
1192;FLX BOARD OPPO A59/FIS;;;
1193;FLX BOARD OPPO A17;;;
1194;FLX BOAR OPPO RENO5(5G) SMALL;;;
1195;FLX BOARD OPPO RENO5(5G) BIG;;;
1196;FLX BOARD OPPO RENO 2F;;;
1197;FLX BOARD OPPO RENO5/RENO6 (4G);;;
1198;FLX BOARD OPPO A31;;;
1199;FLX BOARD OPPO A57;;;
1200;FLX BOARD OPPO A53(2020)/A32/A33;;;
1201;FLX BOARD OPPO REALME 5;;;
1202;FLX BOARD OPPO A3S(CPH1853);;;
1203;FLX BOARD SAMSUNG A30/A50 BIG;;;
1204;FLX BOARD SAMSUNG A536/A53(5G);;;
1205;FLX BOARD SAMSUNG A10S/A107 BIG;;;
1206;FLX BOARD SAMSUNG A10S/A107 SMALL;;;
1207;FLX BOARD SAMSUNG M20/M205;;;
1208;FLX BOARD SAMSUNG A750/A7(2018);;;
1209;FLX BOARD SAMSUNG A10/M10;;;
1210;FLX BOARD SAMSUNG A315/A31;;;
1211;FLX BOARD SAMSUNG A70/A705;;;
1212;FLX BOARD SAMSUNG A30/A50/A305 SMALL;;;
1213;FLX BOARD SAMSUNG A51;;;
1214;FLX BOARD SAMSUNG A525F/A52(4G);;;
1215;FLX BOARD SAMSUNG A20S BIG;;;
1216;FLX BOARD SAMSUNG A20S SMALL;;;
1217;FLX BOARD SAMSUNG M305/M30;;;
1218;FLX BOARD SAMSUNG M307/M30S;;;
1219;FLX BOARD SAMSUNG A32(4G)/A325F;;;
1220;FLX BOARD SAMSUNG A71;;;
1221;FLX BOARD SAMSUNG A205F/M107F/M10S/A20(2019);;;
1222;FLX BOARD SAMSUNG A21S/A217;;;
1223;FLX BOARD XIAOMI POCO X3;;;
1224;FLX BOARD XIAOMI MI4I;;;
1225;FLX BOARD XIAOMI MIMAX;;;
1226;FLX BOARD XIAOMI MI4C;;;
1227;FLX BOARD XIAOMI REDMI NOTE8;;;
1228;FLX BOARD XIAOMI REDMI NOTE9/10X(4g);;;
1229;FLX BOARD XIAOMI REDMI 4X;;;
1230;FLX BOARD XIAOMI K40/K40PRO/POCO F3;;;
1231;FLX BOARD XIAOMI REDMI NOTE4 BIG ;;;
1232;FLX BOARD XIAOMI MIMAX2;;;
1233;FLX BOARD XIAOMI REDMI 6/6A;;;
1234;FLX BOARD XIAOMI REDMI NOTE3;;;
1235;FLX BOARD XIAOMI REDMI NOTE7;;;
1236;FLX BOARD XIAOMI REDMI NOTE 9PRO;;;
1237;FLX BOARD XIAOMI REDMI 3S/3X;;;
1238;FLX BOARD XIAOMI REDMI 4A;;;
1239;FLX BOARD XIAOMI REDMI NOTE2;;;
1240;FLX BOARD XIAOMI REDMI 5;;;
1241;FLX BOARD XIAOMI REDMI 9;;;
1242;FLX BOARD XIAOMI REDMI NOTE10(4g)/NOTE 10S;;;
1243;FLX BOARD XIAOMI REDMI 12PRO(5g);;;
1244;FLX BOARD XIAOMI REDMI 5A;;;
1245;FLX BOARD XIAOMI REDMI 9T/POCO M3;;;
1246;FLX BOARD XIAOMI REDMI NOTE 4Z BIG;;;
1247;FLX BOARD XIAOMI REDMI NOTE5/NOTE5PRO;;;
1248;FLX BOARD XIAOMI REDMI NOTE5A;;;
1249;FLX BOARD XIAOMI REDMI NOTE8PRO ;;;
1250;FLX BOARD XIAOMI REDMI7;;;
1251;FLX BOARD IPHONE 6PLUS;;;
1252;FLX BOARD IPHONE 6 (4,7);;;
1253;FLX FINGER PRINT XIAOMI POCO X3/X3PRO/X3 NFC ORI;;;
1254;FLX FINGER PRINT XIAOMI REDMI8 BLACK;;;
1255;FLX FINGER PRINT XIAOMI REDMI MI5X BLACK;;;
1256;FLX FINGER PRINT XIAOMI REDMI 4PRIME SILVER;;;
1257;FLX FINGER PRINT XIAOMI REDMI 6PRO/MIA2 LITE BLACK ;;;
1258;FLX FINGER PRINT XIAOMI REDMI MI5 BLACK;;;
1259;FLX FINGER PRINT XIAOMI REDMI NOTE10PRO/NOTE10PRO MAX ORI;;;
1260;FLX FINGER PRINT XIAOMI REDMI NOTE7/REDMI7/NOTE7PRO/MIPLAY RED ORI;;;
1261;FLX FINGER PRINT XIAOMI REDMI NOTE9PRO (5g) ;;;
1262;FLX FINGER PRINT XIAOMI REDMI NOTE9PRO/NOTE 9S GREY;;;
1263;FLX FINGER PRINT XIAOMI REDMI NOTE3/NOTE3PRO GOLD;;;
1264;FLX FINGER PRINT XIAOMI REDMI 9C BLACK;;;
1265;FLX FINGER PRINT XIAOMI REDMI NOTE9/10X(4g) BLACK;;;
1266;FLX FINGER PRINT XIAOMI REDMI NOTE5A PRIME GOLD ;;;
1267;FLX FINGER PRINT XIAOMI REDMI 6/6A GOLD;;;
1268;FLX FINGER PRINT XIAOMI REDMI 9T/POCO M3 BLUE;;;
1269;FLX FINGER PRINT XIAOMI POCO F3 BLACK;;;
1270;FLX FINGER PRINT VIVO Y30 ;;;
1271;FLX FINGER PRINT VIVO Y20(2020)/Y20S/Y12S ORG BLACK ;;;
1272;FLX FINGER PRINT VIVO V15 BLUE;;;
1273;FLX FINGER PRINT VIVO V5/Y67/Y69 BLACK;;;
1274;FLX FINGER PRINT VIVO Y12(2019) BLUE;;;
1275;FLX FINGER PRINT VIVO Y15S ORG BLUE;;;
1276;FLX FINGER PRINT VIVO Y17 BLUE;;;
1277;FLX FINGER PRINT VIVO Y21(2021)/Y21S BLACK;;;
1278;FLX FINGER PRINT ZENFONE ZB601KL/ZB602KL BLACK ;;;
1279;FLX FINGER PRINT OPPO REAL6/REAL6PRO ORG BLACK ;;;
1280;FLX FINGER PRINT OPPO A15/A15S ORG PUTIH ;;;
1281;FLX FINGER PRINT OPPO REALME C12/C15 BLUE ;;;
1282;FLX FINGER PRINT OPPO A5S BLACK ;;;
1283;FLX FINGER PRINT OPPO REALME C35 ORG BLACK ;;;
1284;FLX FINGER PRINT OPPO A12(2020) BLUE ;;;
1285;FLX FINGER PRINT OPPO F1S/A59 PUTIH;;;
1286;FLX FINGER PRINT OPPO A53(2020) BLACK ;;;
1287;FLX FINGER PRINT OPPO F3/F3+ BLACK ;;;
1288;FLX FINGER PRINT OPPO A57 PUTIH;;;
1289;FLX FINGER PRINT OPPO F1+ PUTIH;;;
1290;FLX FINGER PRINT OPPO A5(2020) PUTIH;;;
1291;FLX FINGER PRINT OPPO REALME C31 BLACK;;;
1292;FLX FINGER PRINT SAMSUNG A320/A520/A720 ;;;
1293;FLX FINGER PRINT SAMSUNG J600/A600/A6PLUS BLUE;;;
1294;FLX FINGER PRINT SAMSUNG J530/J5PRO GOLD;;;
1295;FLX FINGER PRINT SAMSUNG J330/J3PRO ROSEGOLD;;;
1296;FLX FINGER PRINT SAMSUNG A12/M12 BLUE;;;
1297;FLX FINGER PRINT SAMSUNG A10S/A107 ORI BLACK;;;
1298;FLX FINGER PRINT SAMSUNG A047 BLACK;;;
1299;FLX FINGER PRINT SAMSUNG A20/A205/A205F/A30 BLACK;;;
1300;FLX FINGER PRINT SAMSUNG A03S/A037 BLACK;;;
1301;FLX FINGER PRINT SAMSUNG A24(4g)/A245 ORG BLACK ;;;
1302;FLX FINGER PRINT SAMSUNG A13(4g)/A135 ORG BLUE ;;;
1303;FLX FINGER PRINT SAMSUNG A12/A125/M12/M127 RED;;;
1304;FLX FINGER PRINT SAMSUNG M32(4g) ;;;
1305;SIMLOCK SAMSUNG J4PLUS/J6PLUS RED;;;
1306;SIMLOCK SAMSUNG M20/M205F BLACK;;;
1307;SIMLOCK SAMSUNG J5PRIME BLACK;;;
1308;SIMLOCK SAMSUNG A710 DUAL SIM GOLD;;;
1309;SIMLOCK SAMSUNG A52/A72 BLACK;;;
1310;SIMLOCK SAMSUNG A125/A12 BLACK;;;
1311;SIMLOCK SAMSUNG E500 PUTIH;;;
1312;SIMLOCK SAMSUNG A21S BLACK;;;
1313;SIMLOCK SAMSUNG A20S BLACK;;;
1314;SIMLOCK SAMSUNG A042 BLACK;;;
1315;SIMLOCK SAMSUNG A3 GOLD;;;
1316;SIMLOCK SAMSUNG A04E ROSE GOLD ;;;
1317;SIMLOCK SAMSUNG A03/A035 BLUE;;;
1318;SIMLOCK SAMSUNG A52/A72 SILVER ;;;
1319;SIMLOCK SAMSUNG A025/A02 BLACK;;;
1320;SIMLOCK SAMSUNG S8PLUS/S8/G.955;;;
1321;SIMLOCK SAMSUNG G.570 DUAL SIM GOLD ;;;
1322;SIMLOCK SAMSUNG A01/A015 BLACK ;;;
1323;SIMLOCK SAMSUNG A10S/A107;;;
1324;SIMLOCK SAMSUNG A05S/A057 SILVER;;;
1325;SIMLOCK SAMSUNG A05S/A057 BLACK ;;;
1326;SIMLOCK SAMSUNG G.570 DUAL SIM BLACK;;;
1327;FLX FINGER PRINT XIAOMI REDMI 9C BLUE;;;
1328;FLX FINGER PRINT XIAOMI REDMI 6/6A GREY;;;
1329;FLX FINGER PRINT XIAOMI POCO F3 WHITE;;;
1330;FLX FINGER PRINT VIVO Y20(2020)/Y20S/Y12S BLACK;;;
1331;FLX FINGER PRINT OPPO A15/A15S ORG BLACK;;;
1332;FLX FINGER PRINT OPPO F3/F3+ PUTIH;;;
1333;FLX FINGER PRINT SAMSUNG J600/A600/A6PLUS BLACK;;;
1334;FLX FINGER PRINT SAMSUNG J600/A600/A6PLUS GOLD;;;
1335;FLX FINGER PRINT SAMSUNG A12/M12 BLACK;;;
1336;FLX FINGER PRINT SAMSUNG A12/M12 PUTIH;;;
1337;FLX FINGER PRINT SAMSUNG A12/M12 RED;;;
1338;FLX FINGER PRINT SAMSUNG A10S/A107 BLACK ;;;
1339;FLX FINGER PRINT SAMSUNG A10S/A107 BLUE;;;
1340;SIMLOCK SAMSUNG J5PRIME GOLD;;;
1341;SIMLOCK SAMSUNG A710 DUAL SIM BLACK;;;
1342;SIMLOCK SAMSUNG A20S RED;;;
1343;SIMLOCK OPPO F5/F5 YOUTH GOLD;;;
1344;SIMLOCK OPPO F5/F5 YOUTH BLACK ;;;
1345;SIMLOCK OPPO A7 GOLD;;;
1346;SIMLOCK OPPO REALME 3/3PRO BLACK ;;;
1347;SIMLOCK OPPO F3 GOLD ;;;
1348;SIMLOCK OPPO F3 BLACK;;;
1349;SIMLOCK OPPO A37 CON SIM ;;;
1350;SIMLOCK OPPO F3PLUS BLACK ;;;
1351;SIMLOCK OPPO F9 MERAH;;;
1352;SIMLOCK OPPO A3S(CPH1803) BLACK ;;;
1353;SIMLOCK OPPO RENO4F BLACK ;;;
1354;SIMLOCK OPPO RENO4F METALIC PUTIH ;;;
1355;SIMLOCK OPPO A12(2020) BLACK;;;
1356;SIMLOCK OPPO REALME 3 BLACK ;;;
